Section,Variable,Missing_n,Missing_pct,Raw_n
Analytic cohort,All birth records in BR file,NA,NA,"104,557"
Analytic cohort,Non-missing outcome (m17),NA,NA,"15,993"
Analytic cohort,Valid survey design fields,NA,NA,"15,993"
Analytic cohort,Final modelling cohort with valid design and outcome,NA,NA,"15,993"
Variable missingness,cs,0,0.0%,"15,993"
Variable missingness,age_years,0,0.0%,"15,993"
Variable missingness,parity,0,0.0%,"15,993"
Variable missingness,bmi,"9,470",59.2%,"6,523"
Variable missingness,education_grp,0,0.0%,"15,993"
Variable missingness,wealth_grp,0,0.0%,"15,993"
Variable missingness,residence_grp,0,0.0%,"15,993"
Variable missingness,multiple_gestation,0,0.0%,"15,993"
Variable missingness,prior_cs,0,0.0%,"15,993"
Variable missingness,delivery_sector_grp,0,0.0%,"15,993"
Variable missingness,anc_content_cat,0,0.0%,"15,993"
Variable missingness,early_anc,0,0.0%,"15,993"
Variable missingness,anc4plus,0,0.0%,"15,993"
Variable missingness,anc8plus,0,0.0%,"15,993"
Variable missingness,iron_use,0,0.0%,"15,993"
Variable missingness,sp_malaria,0,0.0%,"15,993"
